Depth	Location	qs	means	sd
1	1	Fossil Lagoon	q0=Observed	2174.25	319.182680190096
2	1	Fossil Lagoon	q0f=PD Faith	176.887437443218	18.0188585523249
3	1	Fossil Lagoon	q1=Exp Shannon	625.054264338709	163.869115475165
4	1	Fossil Lagoon	q2=Inv Simpson	175.073356104544	58.8700923744864
5	1	Miguelito Dike	q0=Observed	2850.5	592.078288742291
6	1	Miguelito Dike	q0f=PD Faith	211.16187152269	32.9654343485304
7	1	Miguelito Dike	q1=Exp Shannon	675.494767621112	332.699773495733
8	1	Miguelito Dike	q2=Inv Simpson	185.337292070757	115.856181990754
9	1	Reforma Waterfalls	q0=Observed	2652.66666666667	516.759454033821
10	1	Reforma Waterfalls	q0f=PD Faith	195.244124590572	30.6726039519865
11	1	Reforma Waterfalls	q1=Exp Shannon	544.574547558296	285.373214123911
12	1	Reforma Waterfalls	q2=Inv Simpson	132.969681877678	86.2542824057552
13	2	Fossil Lagoon	q0=Observed	2727.25	396.224157937566
14	2	Fossil Lagoon	q0f=PD Faith	214.806917009904	18.3114505178815
15	2	Fossil Lagoon	q1=Exp Shannon	859.133842478719	211.628972336254
16	2	Fossil Lagoon	q2=Inv Simpson	280.370383254503	85.3045950275138
17	2	Miguelito Dike	q0=Observed	3229.66666666667	691.672658608584
18	2	Miguelito Dike	q0f=PD Faith	228.734991914983	35.979553396221
19	2	Miguelito Dike	q1=Exp Shannon	887.835045574714	283.754736561234
20	2	Miguelito Dike	q2=Inv Simpson	280.531846624628	103.749819830996
21	2	Reforma Waterfalls	q0=Observed	3288.66666666667	828.472288814377
22	2	Reforma Waterfalls	q0f=PD Faith	231.814186663992	40.9937285804908
23	2	Reforma Waterfalls	q1=Exp Shannon	735.559633412483	319.229844109875
24	2	Reforma Waterfalls	q2=Inv Simpson	181.790904127828	99.6423808554268
25	3	Fossil Lagoon	q0=Observed	2972	276.739347882925
26	3	Fossil Lagoon	q0f=PD Faith	232.132482389149	9.13988920966278
27	3	Fossil Lagoon	q1=Exp Shannon	715.392073897831	191.848635649066
28	3	Fossil Lagoon	q2=Inv Simpson	177.952396787021	81.6927546995476
29	3	Miguelito Dike	q0=Observed	3192	592.85006536223
30	3	Miguelito Dike	q0f=PD Faith	230.700294851477	32.2665349423997
31	3	Miguelito Dike	q1=Exp Shannon	710.574906289712	161.284579226716
32	3	Miguelito Dike	q2=Inv Simpson	177.230789575103	75.7554502202622
33	3	Reforma Waterfalls	q0=Observed	4276.33333333333	942.312227095315
34	3	Reforma Waterfalls	q0f=PD Faith	277.435748070083	41.99313470657
35	3	Reforma Waterfalls	q1=Exp Shannon	1070.93942545329	451.946676956169
36	3	Reforma Waterfalls	q2=Inv Simpson	283.526569307095	165.919883239037
37	4	Fossil Lagoon	q0=Observed	2983.5	720.541810029092
38	4	Fossil Lagoon	q0f=PD Faith	232.080761501469	36.931432829403
39	4	Fossil Lagoon	q1=Exp Shannon	726.519737398061	111.447809917519
40	4	Fossil Lagoon	q2=Inv Simpson	191.919414322821	108.12679549717
41	4	Miguelito Dike	q0=Observed	3158.33333333333	1069.33618037859
42	4	Miguelito Dike	q0f=PD Faith	226.11822238439	60.1595258651981
43	4	Miguelito Dike	q1=Exp Shannon	716.62555305808	341.237337699115
44	4	Miguelito Dike	q2=Inv Simpson	186.61119648964	120.246225317692
45	4	Reforma Waterfalls	q0=Observed	3664.66666666667	1117.86060550202
46	4	Reforma Waterfalls	q0f=PD Faith	250.886931996437	54.6093385499438
47	4	Reforma Waterfalls	q1=Exp Shannon	938.199728001259	370.068807138208
48	4	Reforma Waterfalls	q2=Inv Simpson	265.463435155838	78.8527452850436
